/Users/shmuel/VENVs/AI-Final-Project/bin/python /Users/shmuel/PycharmProjects/AI-Final-Project/Checkers.py -a=rl -b=random -d=no -n=1000 -m=train
Game Mode: ['train']
Player name: pa
RL weights file loads from path: objects/pa_Q_LearningAgent.pkl
RL weights file loads from path: objects/pa_Q_LearningAgent.pkl
Episode 1/1000, BLACK: 0, WHITE: 1, Ties: 0
Episode 2/1000, BLACK: 0, WHITE: 2, Ties: 0
Episode 3/1000, BLACK: 1, WHITE: 2, Ties: 0
Episode 4/1000, BLACK: 2, WHITE: 2, Ties: 0
Episode 5/1000, BLACK: 2, WHITE: 3, Ties: 0
Episode 6/1000, BLACK: 3, WHITE: 3, Ties: 0
Episode 7/1000, BLACK: 4, WHITE: 3, Ties: 0
Episode 8/1000, BLACK: 4, WHITE: 4, Ties: 0
Episode 9/1000, BLACK: 4, WHITE: 5, Ties: 0
Episode 10/1000, BLACK: 5, WHITE: 5, Ties: 0
Episode 11/1000, BLACK: 5, WHITE: 6, Ties: 0
Episode 12/1000, BLACK: 5, WHITE: 7, Ties: 0
Episode 13/1000, BLACK: 6, WHITE: 7, Ties: 0
Episode 14/1000, BLACK: 6, WHITE: 7, Ties: 1
Episode 15/1000, BLACK: 6, WHITE: 7, Ties: 2
Episode 16/1000, BLACK: 7, WHITE: 7, Ties: 2
Episode 17/1000, BLACK: 7, WHITE: 8, Ties: 2
Episode 18/1000, BLACK: 8, WHITE: 8, Ties: 2
Episode 19/1000, BLACK: 9, WHITE: 8, Ties: 2
Episode 20/1000, BLACK: 10, WHITE: 8, Ties: 2
Episode 21/1000, BLACK: 11, WHITE: 8, Ties: 2
Episode 22/1000, BLACK: 12, WHITE: 8, Ties: 2
Episode 23/1000, BLACK: 13, WHITE: 8, Ties: 2
Episode 24/1000, BLACK: 14, WHITE: 8, Ties: 2
Episode 25/1000, BLACK: 14, WHITE: 9, Ties: 2
Episode 26/1000, BLACK: 14, WHITE: 9, Ties: 3
Episode 27/1000, BLACK: 14, WHITE: 9, Ties: 4
Episode 28/1000, BLACK: 14, WHITE: 10, Ties: 4
has 3 identical moves
has 3 identical moves
Episode 29/1000, BLACK: 14, WHITE: 10, Ties: 5
Episode 30/1000, BLACK: 14, WHITE: 11, Ties: 5
Episode 31/1000, BLACK: 14, WHITE: 12, Ties: 5
Episode 32/1000, BLACK: 14, WHITE: 13, Ties: 5
Episode 33/1000, BLACK: 15, WHITE: 13, Ties: 5
Episode 34/1000, BLACK: 16, WHITE: 13, Ties: 5
Episode 35/1000, BLACK: 17, WHITE: 13, Ties: 5
Episode 36/1000, BLACK: 18, WHITE: 13, Ties: 5
Episode 37/1000, BLACK: 18, WHITE: 13, Ties: 6
Episode 38/1000, BLACK: 19, WHITE: 13, Ties: 6
Episode 39/1000, BLACK: 19, WHITE: 14, Ties: 6
Episode 40/1000, BLACK: 20, WHITE: 14, Ties: 6
Episode 41/1000, BLACK: 21, WHITE: 14, Ties: 6
Episode 42/1000, BLACK: 21, WHITE: 15, Ties: 6
Episode 43/1000, BLACK: 22, WHITE: 15, Ties: 6
Episode 44/1000, BLACK: 23, WHITE: 15, Ties: 6
Episode 45/1000, BLACK: 24, WHITE: 15, Ties: 6
Episode 46/1000, BLACK: 25, WHITE: 15, Ties: 6
Episode 47/1000, BLACK: 26, WHITE: 15, Ties: 6
Episode 48/1000, BLACK: 27, WHITE: 15, Ties: 6
Episode 49/1000, BLACK: 27, WHITE: 16, Ties: 6
Episode 50/1000, BLACK: 28, WHITE: 16, Ties: 6
Episode 51/1000, BLACK: 29, WHITE: 16, Ties: 6
Episode 52/1000, BLACK: 30, WHITE: 16, Ties: 6
Episode 53/1000, BLACK: 30, WHITE: 17, Ties: 6
Episode 54/1000, BLACK: 30, WHITE: 18, Ties: 6
Episode 55/1000, BLACK: 31, WHITE: 18, Ties: 6
Episode 56/1000, BLACK: 32, WHITE: 18, Ties: 6
Episode 57/1000, BLACK: 32, WHITE: 19, Ties: 6
Episode 58/1000, BLACK: 33, WHITE: 19, Ties: 6
has 3 identical moves
has 3 identical moves
Episode 59/1000, BLACK: 33, WHITE: 19, Ties: 7
Episode 60/1000, BLACK: 33, WHITE: 20, Ties: 7
Episode 61/1000, BLACK: 34, WHITE: 20, Ties: 7
Episode 62/1000, BLACK: 34, WHITE: 21, Ties: 7
Episode 63/1000, BLACK: 34, WHITE: 22, Ties: 7
Episode 64/1000, BLACK: 34, WHITE: 23, Ties: 7
Episode 65/1000, BLACK: 35, WHITE: 23, Ties: 7
Episode 66/1000, BLACK: 35, WHITE: 24, Ties: 7
Episode 67/1000, BLACK: 36, WHITE: 24, Ties: 7
Episode 68/1000, BLACK: 37, WHITE: 24, Ties: 7
Episode 69/1000, BLACK: 37, WHITE: 25, Ties: 7
Episode 70/1000, BLACK: 37, WHITE: 26, Ties: 7
Episode 71/1000, BLACK: 38, WHITE: 26, Ties: 7
Episode 72/1000, BLACK: 38, WHITE: 27, Ties: 7
Episode 73/1000, BLACK: 38, WHITE: 28, Ties: 7
Episode 74/1000, BLACK: 38, WHITE: 29, Ties: 7
Episode 75/1000, BLACK: 39, WHITE: 29, Ties: 7
Episode 76/1000, BLACK: 40, WHITE: 29, Ties: 7
Episode 77/1000, BLACK: 41, WHITE: 29, Ties: 7
Episode 78/1000, BLACK: 42, WHITE: 29, Ties: 7
Episode 79/1000, BLACK: 42, WHITE: 30, Ties: 7
Episode 80/1000, BLACK: 43, WHITE: 30, Ties: 7
Episode 81/1000, BLACK: 43, WHITE: 31, Ties: 7
Episode 82/1000, BLACK: 43, WHITE: 32, Ties: 7
Episode 83/1000, BLACK: 44, WHITE: 32, Ties: 7
Episode 84/1000, BLACK: 45, WHITE: 32, Ties: 7
Episode 85/1000, BLACK: 45, WHITE: 33, Ties: 7
Episode 86/1000, BLACK: 46, WHITE: 33, Ties: 7
Episode 87/1000, BLACK: 47, WHITE: 33, Ties: 7
has 3 identical moves
has 3 identical moves
Episode 88/1000, BLACK: 47, WHITE: 33, Ties: 8
Episode 89/1000, BLACK: 47, WHITE: 34, Ties: 8
Episode 90/1000, BLACK: 47, WHITE: 34, Ties: 9
Episode 91/1000, BLACK: 47, WHITE: 35, Ties: 9
Episode 92/1000, BLACK: 47, WHITE: 36, Ties: 9
Episode 93/1000, BLACK: 48, WHITE: 36, Ties: 9
Episode 94/1000, BLACK: 49, WHITE: 36, Ties: 9
Episode 95/1000, BLACK: 50, WHITE: 36, Ties: 9
Episode 96/1000, BLACK: 51, WHITE: 36, Ties: 9
Episode 97/1000, BLACK: 51, WHITE: 37, Ties: 9
Episode 98/1000, BLACK: 52, WHITE: 37, Ties: 9
Episode 99/1000, BLACK: 53, WHITE: 37, Ties: 9
Episode 100/1000, BLACK: 54, WHITE: 37, Ties: 9
Episode 101/1000, BLACK: 54, WHITE: 38, Ties: 9
